Participant name,Mean Pupil diameter left,Std Pupil diameter left,Min Pupil diamater left,Max Pupil diamater left,Mean Pupil diameter right,Std Pupil diameter right,Min Pupil diamater right,Max Pupil diamater right,Num. of Fixations,Num. of Saccades,Num. of Unclassified,Recording duration (s),Mean Gaze event duration (s),Mean Fixation point X,Std Fixation point X,Mean Fixation point Y,Std Fixation point Y,Mean Gaze point X,Std Gaze point X,Mean Gaze point Y,Std Gaze point Y,Speed,Acceleration,Avg Saccade Speed,Avg Fix Duration,Avg Unclassif Duration,Empathy Score
2.0,3.027241379310345,0.2842048863024722,1.75,4.4,3.0232821387940843,0.3176551844336661,1.67,4.27,187.0,517.0,345.0,106.276,0.16902769357949848,0.44123444749314045,0.1463779413360522,0.31401354452481917,0.18850053511900935,0.4322666720964326,0.15046964660320664,0.342945496009122,0.1847880954201867,0.013806959834130762,-0.5437420920939376,,0.19518716577540107,0.04183574879227053,105
2.0,2.9574660633484164,0.37200672645113125,2.11,3.8,2.8354128440366972,0.3796894974695092,1.79,3.72,25.0,44.0,23.0,14.124,0.18783276836158191,0.5044984732824428,0.06249063499670857,0.3772253816793893,0.20322168622527542,0.5034017142857142,0.06949353772348889,0.40956928571428575,0.23524777164180774,-0.0849381536544068,1.5410302590914486,,0.19133333333333333,0.04673913043478261,105
2.0,3.167373737373738,0.23362335021060324,2.54,3.83,3.11,0.2360052481563924,2.65,3.72,16.0,25.0,8.0,15.29,0.343878548895899,0.49539901768172884,0.0836305341319227,0.39538546168958744,0.12421161737367296,0.5022061564059901,0.10145128442772651,0.39571813643926784,0.13722492868955957,-0.09379983818904719,0.27505448502787144,-0.4179391840017827,0.24427083333333333,0.042708333333333334,105
2.0,3.176890243902439,0.31712777344393966,1.84,4.05,3.019230769230769,0.29913366975476424,2.12,3.68,14.0,17.0,4.0,9.943,0.5258219424460432,0.4518492407809111,0.10162554360766202,0.40037809110629063,0.18006052369375652,0.44846218809980803,0.10191125272949658,0.40273953934740886,0.17943528673575115,0.025321172771488452,1.703314350414388,0.2467168850035783,0.2898809523809524,0.035416666666666666,105
2.0,3.1860149684873953,0.3192768327047634,1.94,4.12,3.221871993001895,0.3611482375981457,1.88,5.0,685.0,2095.0,1456.0,228.445,0.1459363276287273,0.4490397780462026,0.1704008406178566,0.37822042125924815,0.20828129259381267,0.4408090286209887,0.17653092166484613,0.3970868560277537,0.20977015312155822,-0.009994514168712216,-0.10245853986006198,,0.17871046228710463,0.04495764652014652,105
4.0,3.027241379310345,0.2842048863024722,1.75,4.4,3.0232821387940843,0.3176551844336661,1.67,4.27,187.0,517.0,345.0,106.276,0.16902769357949848,0.44123444749314045,0.1463779413360522,0.31401354452481917,0.18850053511900935,0.4322666720964326,0.15046964660320664,0.342945496009122,0.1847880954201867,0.013806959834130762,-0.5437420920939376,,0.19518716577540107,0.04183574879227053,96
4.0,2.9574660633484164,0.37200672645113125,2.11,3.8,2.8354128440366972,0.3796894974695092,1.79,3.72,25.0,44.0,23.0,14.124,0.18783276836158191,0.5044984732824428,0.06249063499670857,0.3772253816793893,0.20322168622527542,0.5034017142857142,0.06949353772348889,0.40956928571428575,0.23524777164180774,-0.0849381536544068,1.5410302590914486,,0.19133333333333333,0.04673913043478261,96
4.0,3.167373737373738,0.23362335021060324,2.54,3.83,3.11,0.2360052481563924,2.65,3.72,16.0,25.0,8.0,15.29,0.343878548895899,0.49539901768172884,0.0836305341319227,0.39538546168958744,0.12421161737367296,0.5022061564059901,0.10145128442772651,0.39571813643926784,0.13722492868955957,-0.09379983818904719,0.27505448502787144,-0.4179391840017827,0.24427083333333333,0.042708333333333334,96
4.0,3.176890243902439,0.31712777344393966,1.84,4.05,3.019230769230769,0.29913366975476424,2.12,3.68,14.0,17.0,4.0,9.943,0.5258219424460432,0.4518492407809111,0.10162554360766202,0.40037809110629063,0.18006052369375652,0.44846218809980803,0.10191125272949658,0.40273953934740886,0.17943528673575115,0.025321172771488452,1.703314350414388,0.2467168850035783,0.2898809523809524,0.035416666666666666,96
4.0,3.1860149684873953,0.3192768327047634,1.94,4.12,3.221871993001895,0.3611482375981457,1.88,5.0,685.0,2095.0,1456.0,228.445,0.1459363276287273,0.4490397780462026,0.1704008406178566,0.37822042125924815,0.20828129259381267,0.4408090286209887,0.17653092166484613,0.3970868560277537,0.20977015312155822,-0.009994514168712216,-0.10245853986006198,,0.17871046228710463,0.04495764652014652,96
